x,y,z,entity_type,entity_id
1.5,-0.5,0.0,POLYLINE,0
2.5,-0.5,0.0,POLYLINE,0
2.5,0.5,0.0,POLYLINE,0
1.5,0.5,0.0,POLYLINE,0
1.75,-0.05,0.0,POLYLINE,1
1.75,0.05,0.0,POLYLINE,1
2.25,0.05,0.0,POLYLINE,1
2.25,-0.05,0.0,POLYLINE,1
2.05,0.35,0.0,CIRCLE,2
2.0489073800366904,0.36039558454088794,0.0,CIRCLE,2
2.04567727288213,0.37033683215379,0.0,CIRCLE,2
2.0404508497187472,0.37938926261462363,0.0,CIRCLE,2
2.033456530317943,0.3871572412738697,0.0,CIRCLE,2
2.025,0.3933012701892219,0.0,CIRCLE,2
2.0154508497187473,0.39755282581475765,0.0,CIRCLE,2
2.0052264231633825,0.39972609476841364,0.0,CIRCLE,2
1.9947735768366173,0.39972609476841364,0.0,CIRCLE,2
1.9845491502812527,0.39755282581475765,0.0,CIRCLE,2
1.975,0.3933012701892219,0.0,CIRCLE,2
1.9665434696820572,0.3871572412738697,0.0,CIRCLE,2
1.9595491502812525,0.37938926261462363,0.0,CIRCLE,2
1.95432272711787,0.37033683215379,0.0,CIRCLE,2
1.9510926199633096,0.36039558454088794,0.0,CIRCLE,2
1.95,0.35000000000000003,0.0,CIRCLE,2
1.9510926199633096,0.339604415459112,0.0,CIRCLE,2
1.95432272711787,0.32966316784620997,0.0,CIRCLE,2
1.9595491502812525,0.3206107373853763,0.0,CIRCLE,2
1.9665434696820572,0.31284275872613027,0.0,CIRCLE,2
1.975,0.30669872981077806,0.0,CIRCLE,2
1.9845491502812527,0.3024471741852423,0.0,CIRCLE,2
1.9947735768366173,0.3002739052315863,0.0,CIRCLE,2
2.0052264231633825,0.3002739052315863,0.0,CIRCLE,2
2.0154508497187473,0.3024471741852423,0.0,CIRCLE,2
2.025,0.30669872981077806,0.0,CIRCLE,2
2.033456530317943,0.31284275872613027,0.0,CIRCLE,2
2.0404508497187472,0.3206107373853763,0.0,CIRCLE,2
2.04567727288213,0.32966316784620997,0.0,CIRCLE,2
2.0489073800366904,0.339604415459112,0.0,CIRCLE,2
2.05,0.3499999999999999,0.0,CIRCLE,2
2.0500000000000003,-0.35,0.0,CIRCLE,3
2.0489073800366904,-0.339604415459112,0.0,CIRCLE,3
2.04567727288213,-0.3296631678462099,0.0,CIRCLE,3
2.0404508497187472,-0.32061073738537627,0.0,CIRCLE,3
2.033456530317943,-0.3128427587261302,0.0,CIRCLE,3
2.025,-0.30669872981077795,0.0,CIRCLE,3
2.0154508497187473,-0.3024471741852422,0.0,CIRCLE,3
2.0052264231633825,-0.3002739052315862,0.0,CIRCLE,3
1.9947735768366173,-0.3002739052315862,0.0,CIRCLE,3
1.9845491502812527,-0.3024471741852422,0.0,CIRCLE,3
1.9749999999999999,-0.30669872981077795,0.0,CIRCLE,3
1.966543469682057,-0.3128427587261302,0.0,CIRCLE,3
1.9595491502812525,-0.32061073738537627,0.0,CIRCLE,3
1.9543227271178698,-0.3296631678462099,0.0,CIRCLE,3
1.9510926199633096,-0.339604415459112,0.0,CIRCLE,3
1.95,-0.3499999999999999,0.0,CIRCLE,3
1.9510926199633096,-0.36039558454088794,0.0,CIRCLE,3
1.9543227271178698,-0.37033683215379004,0.0,CIRCLE,3
1.9595491502812525,-0.3793892626146237,0.0,CIRCLE,3
1.966543469682057,-0.38715724127386975,0.0,CIRCLE,3
1.9749999999999999,-0.393301270189222,0.0,CIRCLE,3
1.9845491502812527,-0.39755282581475776,0.0,CIRCLE,3
1.9947735768366173,-0.39972609476841375,0.0,CIRCLE,3
2.0052264231633825,-0.39972609476841375,0.0,CIRCLE,3
2.0154508497187473,-0.39755282581475776,0.0,CIRCLE,3
2.025,-0.393301270189222,0.0,CIRCLE,3
2.033456530317943,-0.38715724127386975,0.0,CIRCLE,3
2.0404508497187472,-0.3793892626146237,0.0,CIRCLE,3
2.04567727288213,-0.37033683215379004,0.0,CIRCLE,3
2.0489073800366904,-0.36039558454088794,0.0,CIRCLE,3
2.0500000000000003,-0.35000000000000003,0.0,CIRCLE,3
